               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.027051,            0.039694,           0.0028131,             0.99423,             0.99287,             0.99559,             0.73898,            0.021235,            0.024989,           0.0018674,           0.0077031,           0.0077031,           0.0077031
                 110,            0.025657,            0.037892,           0.0028719,             0.99752,             0.99245,             0.99566,             0.73639,            0.022563,            0.025352,           0.0017063,           0.0076651,           0.0076651,           0.0076651
                 111,            0.029097,             0.03926,           0.0026436,             0.98789,             0.99767,             0.99557,             0.71592,            0.021874,            0.025194,           0.0017522,           0.0076269,           0.0076269,           0.0076269
                 112,            0.027322,            0.039265,           0.0025097,             0.97835,             0.98791,             0.99238,             0.66563,            0.021116,             0.02443,           0.0017291,           0.0075886,           0.0075886,           0.0075886
                 113,            0.027369,            0.039609,           0.0028024,             0.98955,             0.99085,             0.99515,              0.7187,            0.020235,            0.024327,           0.0021381,           0.0075501,           0.0075501,           0.0075501
                 114,            0.023243,            0.036933,           0.0027986,             0.99772,             0.98664,             0.99556,             0.76947,            0.017775,            0.022913,           0.0019186,           0.0075114,           0.0075114,           0.0075114
                 115,            0.024085,            0.038434,           0.0026058,             0.98901,             0.99819,             0.99561,              0.7584,            0.018554,            0.022825,           0.0017307,           0.0074725,           0.0074725,           0.0074725
                 116,            0.024678,            0.037573,           0.0025573,             0.99297,               0.998,             0.99568,             0.73201,            0.020012,            0.023291,           0.0016591,           0.0074335,           0.0074335,           0.0074335
                 117,            0.024683,            0.037432,           0.0026356,             0.98822,                   1,             0.99565,             0.73798,            0.019355,            0.022961,           0.0016014,           0.0073943,           0.0073943,           0.0073943
                 118,            0.025175,            0.038422,           0.0024517,             0.99446,              0.9906,             0.99564,             0.74416,            0.019162,            0.023415,           0.0015242,            0.007355,            0.007355,            0.007355
                 119,            0.025476,            0.037954,           0.0025405,             0.98804,             0.99639,             0.99559,             0.75138,            0.017823,            0.022369,           0.0016551,           0.0073155,           0.0073155,           0.0073155
                 120,            0.025039,             0.04031,           0.0027134,             0.99597,             0.99615,             0.99571,             0.74118,            0.018056,            0.022955,           0.0016565,           0.0072758,           0.0072758,           0.0072758
                 121,            0.024394,            0.038822,           0.0029113,             0.99547,             0.99808,             0.99561,             0.73695,            0.018666,            0.023138,           0.0015678,           0.0072361,           0.0072361,           0.0072361
                 122,            0.025005,            0.037724,            0.002378,             0.99753,             0.99758,             0.99563,             0.75355,            0.019308,            0.023114,           0.0017111,           0.0071962,           0.0071962,           0.0071962
                 123,             0.02615,            0.039612,           0.0027386,             0.99457,             0.99604,             0.99558,             0.71617,            0.019279,            0.023213,           0.0019337,           0.0071561,           0.0071561,           0.0071561
                 124,            0.023809,            0.037823,            0.002681,             0.99679,             0.99604,             0.99575,             0.77196,            0.018399,            0.022639,           0.0015852,            0.007116,            0.007116,            0.007116
                 125,            0.024738,            0.040522,           0.0026607,             0.99387,             0.99852,             0.99574,             0.73808,            0.018284,            0.022476,            0.001442,           0.0070757,           0.0070757,           0.0070757
                 126,               0.024,             0.03753,           0.0026908,             0.99027,             0.99685,             0.99568,             0.76265,            0.017361,             0.02367,           0.0017241,           0.0070353,           0.0070353,           0.0070353
